"id","name","prefecture","description","lat","lng","imageUrl","address","detailUrl","isLimited","sourceUpdatedAt","goshuinPlaceType","goshuinSect"
"goshuin-163654-お寺","お寺 御朱印","愛知県","お寺的御朱印 | 寺庙","34.719769","137.404724","https://minimized.hotokami.jp/k9kWJPZ37DbKkARGz4_YDTDE1hpPifz4yKc4X9MwMi4/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20231130-174810_PQAWXyl9m0.jpg@webp","愛知県豊橋市浜道町北側２７−１","https://hotokami.jp/area/aichi/Hmrtp/Hmrtptk/Dsasm/163680/goshuins/","","2026-03-10","temple",""
"goshuin-74779-せんき薬師-西福院","せんき薬師（西福院） 御朱印","愛知県","せんき薬師（西福院）的御朱印 | 寺庙","35.240437","136.795929","https://minimized.hotokami.jp/8Yt98JC13DDayAKXdiQDbGNzNvR0KQEuFKXfScOTzAY/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241028-140206_dakoZjQKGs.jpg@webp","愛知県稲沢市大塚南３-２８","https://hotokami.jp/area/aichi/Hmrtm/Hmrtmtk/Dkggr/74976/goshuins/","","2026-03-10","temple",""
"goshuin-150062-チベット仏教寺院強巴林-チャンバリン","チベット仏教寺院強巴林（チャンバリン） 御朱印","愛知県","チベット仏教寺院強巴林（チャンバリン）的御朱印 | 寺庙 | 宗派:チベット仏教","35.226906","136.993591","https://minimized.hotokami.jp/tIQue10Q4gzpFJZSPBo2-BMZsfy533_Z0ivJGVwhUGA/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20251207-120341_AQnaPM9GMV.webp@webp","愛知県名古屋市守山区青葉台101","https://hotokami.jp/area/aichi/Hmrtr/Hmrtrtk/Dmrap/150380/goshuins/","","2026-03-10","temple","チベット仏教"
"goshuin-162806-ハナレナイ神社","ハナレナイ神社 御朱印","愛知県","ハナレナイ神社的御朱印 | 神社","34.786949","136.854797","https://minimized.hotokami.jp/6OIBF9z2eh53km8Vws7vnf_204rHKg3PLOdMoeaZqAg/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20221125-122216_YwjhYQ7dUO.jpg@webp","愛知県知多郡美浜町 奥田儀路428-1","https://hotokami.jp/area/aichi/Hmrty/Hmrtytr/Dpkzz/163292/goshuins/","","2026-03-10","shrine",""
"goshuin-76179-阿口社-赤坂町","阿口社（赤坂町） 御朱印","愛知県","阿口社（赤坂町）的御朱印 | 神社","34.853931","137.298218","https://minimized.hotokami.jp/EXKh6IV6YafjArEoAELmx_iyf-dizVNgkFaXuT8xBlY/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20220531-032130_8te2J7Wnez.jpg@webp","愛知県豊川市赤坂町字宮路1","https://hotokami.jp/area/aichi/Hmrtp/Hmrtptm/Dggss/79463/goshuins/","","2026-03-10","shrine",""
"goshuin-79828-愛知県高浜市春日神社","愛知県高浜市春日神社 御朱印","愛知県","愛知県高浜市春日神社的御朱印 | 神社","34.932037","136.984482","https://minimized.hotokami.jp/DDMaY7u3a7RklcPd_WCPXKBqYl3e0Y0GbZgb76naqHQ/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241206-084504_LL1rEkDLfa.jpg@webp","愛知県高浜市春日町2丁目1-8","https://hotokami.jp/area/aichi/Hmrts/Hmrtstr/Dgrgy/94837/goshuins/","","2026-03-10","shrine",""
"goshuin-129869-愛知縣護國神社","愛知縣護國神社 御朱印","愛知県","愛知縣護國神社的御朱印 | 神社","35.178574","136.898773","https://minimized.hotokami.jp/jYKna6LbdVroKUhonQNwnjdU1n5izBQ6axAzdEybR2s/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20260208-150249_6TbyP81Zpu.jpg@webp","愛知県名古屋市中区三の丸１-７-３","https://hotokami.jp/area/aichi/Hmrtk/Hmrtktm/Dgryk/78626/goshuins/","","2026-03-10","shrine",""
"goshuin-76178-愛宕神社","愛宕神社 御朱印","愛知県","愛宕神社的御朱印 | 神社","35.378952","136.942917","https://minimized.hotokami.jp/mM_-aT6z_BV9I_CXx-AnM65mRkq1I4vnSgwQ-8lZvg4/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20251130-065936_dE28b1x2aC.jpg@webp","愛知県犬山市犬山愛宕16","https://hotokami.jp/area/aichi/Hmrtr/Hmrtrtk/Dgkg/79925/goshuins/","","2026-03-10","shrine",""
"goshuin-76129-愛宕神社-横須賀","愛宕神社（横須賀） 御朱印","愛知県","愛宕神社（横須賀）的御朱印 | 神社","35.013542","136.885071","https://minimized.hotokami.jp/L_O5-XpJtpBY3gvBihn7DTnTRd2GnDMzyic5h5AkG2I/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241020-015343_1Y8BeVUAPJ.jpg@webp","愛知県東海市横須賀町四ノ割23-1","https://hotokami.jp/area/aichi/Hmrty/Hmrtytk/Dmkgp/79984/goshuins/","","2026-03-10","shrine",""
"goshuin-76144-葦航寺","葦航寺 御朱印","愛知県","葦航寺的御朱印 | 寺庙","34.807831","136.916061","https://minimized.hotokami.jp/C7VNE4TJQMYqxIFzs4-H7wy7dLE95lYb3HORaMkbq_o/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241026-144227_C4opzDGCqk.jpg@webp","愛知県知多郡美浜町布土平井131","https://hotokami.jp/area/aichi/Hmrty/Hmrtytr/Drgtm/76154/goshuins/","","2026-03-10","temple",""
"goshuin-75957-安穏寺","安穏寺 御朱印","愛知県","安穏寺的御朱印 | 寺庙","35.361603","136.928513","https://minimized.hotokami.jp/aZmL_T7xqvAIXrUNnuld-4n_HpewhcbtOdcSpyK3x2Q/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20260124-104633_eRajIa6z9e.jpg@webp","愛知県丹羽郡扶桑町高雄中郷335","https://hotokami.jp/area/aichi/Hmrtr/Hmrtrtk/Dytrk/75985/goshuins/","","2026-03-10","temple",""
"goshuin-147400-安海熊野社","安海熊野社 御朱印","愛知県","安海熊野社的御朱印 | 神社","34.765472","137.388916","https://minimized.hotokami.jp/cTBE3VzogjSuNCKqLeigoZNqK8694Pdg4W6m2BGJXJo/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20230728-214106_txnwqFTNVy.jpg@webp","愛知県豊橋市魚町115","https://hotokami.jp/area/aichi/Hmrtp/Hmrtptk/Dzzrt/151205/goshuins/","","2026-03-10","shrine",""
"goshuin-76039-安楽寺","安楽寺 御朱印","愛知県","安楽寺的御朱印 | 寺庙","34.945896","136.92926","https://minimized.hotokami.jp/n4NY14XfoHzDOyADL5q-WJvbCAaldfUh-W3Z6xWZ8hI/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241015-025335_jaQCiC7uMS.jpg@webp","愛知県知多郡阿久比町板山川向２１","https://hotokami.jp/area/aichi/Hmrty/Hmrtytm/Dymsk/76051/goshuins/","","2026-03-10","temple",""
"goshuin-76104-安楽寺","安楽寺 御朱印","愛知県","安楽寺的御朱印 | 寺庙","34.705151","137.005615","https://minimized.hotokami.jp/G0q1qomCVHMeGMRAMBBikzo9YdGo_Zg5eIuzkADW4qQ/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241026-163742_Ky3XuENuG3.jpg@webp","愛知県知多郡南知多町日間賀島里中４８","https://hotokami.jp/area/aichi/Hmrts/Hmrtsty/Drryz/76122/goshuins/","","2026-03-10","temple",""
"goshuin-74765-安楽寺","安楽寺 御朱印","愛知県","安楽寺的御朱印 | 寺庙","34.854061","136.863953","https://minimized.hotokami.jp/JRkrGAxckSHH-Xy_5OiqJeE5aUDsgqwcEFE8vLnsejs/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241028-121518_TDwOb3z29o.jpg@webp","愛知県常滑市苅屋字深田101番地","https://hotokami.jp/area/aichi/Hmrty/Hmrtytm/Dktzzg/74796/goshuins/","","2026-03-10","temple",""
"goshuin-74646-安楽寺","安楽寺 御朱印","愛知県","安楽寺的御朱印 | 寺庙","34.842609","137.231018","https://minimized.hotokami.jp/OsG9JWKap12qpPfRCGiPWsJrmOHYVxSJa5ct_cFjSZ0/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20200727-150207_xHgbJO3CPH.jpg@webp","愛知県蒲郡市清田町門前４","https://hotokami.jp/area/aichi/Hmrtp/Hmrtptr/Dmsam/74654/goshuins/","","2026-03-10","temple",""
"goshuin-75096-安楽寺","安楽寺 御朱印","愛知県","安楽寺的御朱印 | 寺庙","35.24622","136.775299","https://minimized.hotokami.jp/I3JNs-hK-gfxgiqzMM4OIJ8zQvukHEjcun87T92CmhQ/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20210304-085325_UxcqPMVIKd.jpg@webp","愛知県稲沢市船橋町３０","https://hotokami.jp/area/aichi/Hmrtm/Hmrtmtk/Drzpz/75108/goshuins/","","2026-03-10","temple",""
"goshuin-76135-安久美神戸神明社","安久美神戸神明社 御朱印","愛知県","安久美神戸神明社的御朱印 | 神社","34.768059","137.394653","https://minimized.hotokami.jp/mn2v1xl1lFkSkV4_ONSAFJEt1KZ_LhwYnoxn_rpiNfQ/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20250608-022000_wna1tLkwdR.webp@webp","愛知県豊橋市八町通3-17","https://hotokami.jp/area/aichi/Hmrtp/Hmrtptk/Dpzpg/79472/goshuins/","","2026-03-10","shrine",""
"goshuin-75484-安昌寺","安昌寺 御朱印","愛知県","安昌寺的御朱印 | 寺庙","35.186333","137.055084","https://minimized.hotokami.jp/JCAhrmxDoBRcBGyvi5tOfFS3grisalQSUsvsuCHtZSw/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20260105-144506_wbbnl43gSr.jpg@webp","愛知県長久手市岩作色金９２","https://hotokami.jp/area/aichi/Hmrtr/Hmrtrtm/Dktgma/75930/goshuins/","","2026-03-10","temple",""
"goshuin-74182-安祥山了雲院大乗寺","安祥山了雲院大乗寺 御朱印","愛知県","安祥山了雲院大乗寺的御朱印 | 寺庙","34.94556","137.098892","https://minimized.hotokami.jp/do9rfeO53E3JqN7N7q1z3KcxmFMekLPSQf656KmUQEE/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20230819-224225_AGZtJQAkqd.jpg@webp","愛知県安城市安城町赤塚１","https://hotokami.jp/area/aichi/Hmrts/Hmrtstr/Dgspy/74251/goshuins/","","2026-03-10","temple",""
"goshuin-145593-安城七夕神社","安城七夕神社 御朱印","愛知県","安城七夕神社的御朱印 | 神社","34.957298","137.079163","https://minimized.hotokami.jp/Ozn1tZ6veuYsHztWr8gsF7v7hLVmOmQ_7XSUt0Jhuac/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20241217-073344_6uiBLIf0Pk.jpg@webp","愛知県安城市桜町18","https://hotokami.jp/area/aichi/Hmrts/Hmrtstr/Darpt/145765/goshuins/","","2026-03-10","shrine",""
"goshuin-72920-安心院","安心院 御朱印","愛知県","安心院的御朱印 | 寺庙","34.949604","137.169556","https://minimized.hotokami.jp/M9k733THoYL2s1Deahp-JYIFWzLBngdBkfSIDnbAHrE/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20250101-122412_uv1h7330IB.jpg@webp","愛知県岡崎市明大寺町馬場東５４","https://hotokami.jp/area/aichi/Hmrts/Hmrtstm/Dzkpm/72940/goshuins/","","2026-03-10","temple",""
"goshuin-71657-安性寺","安性寺 御朱印","愛知県","安性寺的御朱印 | 寺庙","35.209457","136.89386","https://minimized.hotokami.jp/XL-FwQx-dh8Ff_vxMWRmfu62AkeE2dyPfAZey0NGH9c/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20210901-043612_njtlzUMBmJ.jpg@webp","愛知県名古屋市西区稲生町５-２０","https://hotokami.jp/area/aichi/Hmrtk/Hmrtkkr/Dygsm/71660/goshuins/","","2026-03-10","temple",""
"goshuin-71518-安斉院","安斉院 御朱印","愛知県","安斉院的御朱印 | 寺庙","35.172607","136.917145","https://minimized.hotokami.jp/a4WqbQWX9ygaMseFMx1AgxBmMyk4LMSJWaOJlpESRwM/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20250512-115913_1tG2KBe2gD.webp@webp","愛知県名古屋市東区東桜２-６-３８","https://hotokami.jp/area/aichi/Hmrtk/Hmrtkty/Dsams/71531/goshuins/","","2026-03-10","temple",""
"goshuin-72255-安泰寺","安泰寺 御朱印","愛知県","安泰寺的御朱印 | 寺庙","35.114063","136.932312","https://minimized.hotokami.jp/1D9Uo20BbG_m55qoWCSLJIyoWkiWsZji0tvxOuWN9Vo/s:400:400/q:20/plain/https://hotokami-post.s3.amazonaws.com/20221206-140722_EZG6JVQeuE.jpg@webp","愛知県名古屋市南区呼続元町１６-２２","https://hotokami.jp/area/aichi/Hmrtk/Hmrtkkm/Dktsry/72283/goshuins/","","2026-03-10","temple",""
